Abbreviation	ACALD_ko	ACKr_ko	AKGDH_ko	ALCD2x_ko	ATPS4r_ko	FBA_ko	FBP_ko	FRD7_ko	FUM_ko	G6PDH2r_ko	GLUDy_ko	GLUN_ko	GLUSy_ko	GND_ko	ICL_ko	LDH_D_ko	MALS_ko	MDH_ko	ME1_ko	ME2_ko	NADTRHD_ko	PDH_ko	PFK_ko	PFL_ko	PGI_ko	PGL_ko	PPC_ko	PPCK_ko	PPS_ko	PTAr_ko	PYK_ko	RPE_ko	SUCDi_ko	SUCOAS_ko	TALA_ko	THD2_ko	TPI_ko
ACALD	0.0	0.0	0.0	0.0	-2.8133095852922413e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACALDt	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ACKr	-1.3531126571253729e-13	0.0	0.0	6.11644770325763e-14	-14.312267245829107	0.0	9.723486478755474e-14	9.723486478755474e-14	7.689226884334172e-14	0.0	1.462741309731876e-14	5.847717637087275e-14	9.723486478755474e-14	0.0	9.723486478755474e-14	9.659142660094976e-14	9.723486478755474e-14	0.0	9.723486478755474e-14	-1.903820046249126e-14	-1.3531126571253729e-13	0.0	0.0	5.847717637087275e-14	-2.2276663016963487e-14	0.0	-1.242187623017495e-14	5.847717637087275e-14	9.723486478755474e-14	0.0	0.0	0.0	-4.373817297925752e-14	0.0	0.0	9.723486478755474e-14	0.0
ACONTa	6.007249575350239	6.007249575350319	5.836807622088611	6.0072495753503725	0.40375661206533164	0.7595854630451012	6.007249575350407	6.007249575350407	0.8785455808768478	7.803301595127242	6.471170359316134	6.00724957535038	6.007249575350407	7.803301595127242	6.007249575350407	6.007249575350397	6.007249575350407	8.339761944485687	6.007249575350407	6.007249575350323	6.007249575350239	4.75726279310805	0.7595854630451012	6.00724957535038	4.5381816227055864	7.803301595127242	5.573611878986714	6.00724957535038	6.007249575350407	6.007249575350332	6.663499764580392	7.465304393796908	0.878545580876845	5.836807622088611	7.635241224642116	6.007249575350407	0.7595854630450991
ACONTb	6.007249575350239	6.00724957535032	5.836807622088611	6.007249575350372	0.40375661206533164	0.7595854630451012	6.007249575350407	6.007249575350407	0.8785455808768478	7.803301595127242	6.471170359316134	6.00724957535038	6.007249575350407	7.803301595127242	6.007249575350407	6.007249575350398	6.007249575350407	8.339761944485687	6.007249575350407	6.007249575350324	6.007249575350239	4.757262793108051	0.7595854630451012	6.00724957535038	4.5381816227055864	7.803301595127242	5.573611878986714	6.00724957535038	6.007249575350407	6.0072495753503325	6.663499764580393	7.465304393796908	0.8785455808768451	5.836807622088611	7.635241224642117	6.007249575350407	0.7595854630450992
ACt2r	-1.3531126571253726e-13	0.0	0.0	6.11644770325763e-14	-14.312267245829108	0.0	9.723486478755475e-14	9.723486478755475e-14	7.689226884334172e-14	0.0	1.462741309731876e-14	5.847717637087275e-14	9.723486478755475e-14	0.0	9.723486478755475e-14	9.659142660094975e-14	9.723486478755475e-14	0.0	9.723486478755475e-14	-1.903820046249126e-14	-1.3531126571253726e-13	0.0	0.0	5.847717637087275e-14	-2.2276663016963484e-14	0.0	-1.2421876230174951e-14	5.847717637087275e-14	9.723486478755475e-14	0.0	0.0	0.0	-4.373817297925752e-14	0.0	0.0	9.723486478755475e-14	0.0
ADK1	0.0	0.0	0.0	0.0	0.0	4.607428997873793	0.0	0.0	3.7628882410546547	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.674637143672376	0.0	0.0	0.0	0.0	4.607428997873793	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7628882410545494	0.0	0.0	0.0	4.607428997873806
AKGDH	5.064375661482001	5.064375661482084	0.0	5.064375661482136	0.0	0.0	5.064375661482169	5.064375661482169	0.0	6.871333415503389	5.55260728147791	5.064375661482142	5.064375661482169	6.871333415503389	5.064375661482169	5.064375661482159	5.064375661482169	7.4487855118605895	5.064375661482169	5.064375661482084	5.064375661482001	3.897707559160593	0.0	5.064375661482142	3.6069187818279236	6.871333415503389	2.138958990867607	5.064375661482142	5.064375661482169	5.064375661482093	5.73033108381428	6.531283875146967	0.0	0.0	6.702252572494444	5.064375661482169	0.0
AKGt2r	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALCD2x	0.0	0.0	0.0	0.0	-2.8133095852922413e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
